word,title_id,create_time,review_time,due_time,review_count,prev_context,next_context,streak_count
seriatim,6,1715111847,1715111847,1715112147,0,"in the least over-awed by his novel surroundings. Then, while his unsuspecting patient rejected "," the toys in the next room, the doctor reassured Jean.
“There’s nothing on his card",0
syllogism,6,1715159700,1715159700,1715160000,0,"science. So if all artists are abnormal, and all men are artists, we have an interesting ","…”
Everyone waited for him to complete it. But when it suited their purpose the Overlords could",0
ebullient,6,1715160210,1715160210,1715160510,0,"showed against Jeff’s normal sunburn.
By turns he could be affectionate or morose, reserved or ",". He showed no preference for one parent rather than the other, and the arrival of his",0
abeyance,6,1715180178,1715180178,1715180478,0,"of a cyclone. Not until then, still numbed and with his powers of reason almost in ",", did he remember his camera. He raised it to eye-level, and sighted towards that",0
bathos,6,1715203398,1715203398,1715203698,0,"he shrugged his shoulders and put the thought aside. At all moments of greatness, he suspected, ", had never been very far away-and certain he alone could sense its presence here,0
adroitly,7,1715257473,1715257473,1715257773,0,cut diamonds have facets and I met nobody that could exploit his empire’s politic more ," than The Prince.
I plucked a white grape from the bowl, milky and juicy as a",0
Enfeoff,7,1715306389,1715306389,1715306689,0,"though it would have been madness to refuse.
“Explain your plan,” he said.
The Prince continued. “"," the three clans, give them freehold land, at the cost of one quarter of Hasike’s",0
ructions,7,1715309720,1715309720,1715310020,0,"embarrassing, not tight with each other like we were before–so he called it.
There were "," of course. Kailen got us all rich, got the victories, read the wars and leaders and",0
numinous,8,1715357624,1715357624,1715357924,0,"altar to power the massed, frightful city of Alt Coulumb beyond the Sanctum walls. But the "," presence of the Lord of Flame … 
Well, it wasn’t there.
It was a painful two",0
frisson,8,1715715352,1715715352,1715715652,0,"employers. What about you, my dear?”
In the ensuing pause, Tara experienced a moment of terrifying ",". The interlocutors’ dream bodies and the elaborate illusion of time and space fell away, and seated",0
palimpsest,21,1725452182,1715789782,1725452482,0,"buy, I’ll pay in paper notes.”
He had to his left a stack of sheepskin ",—ink-scratched records that could be scraped clean and used again. “Are those your figures,0
adjudicated,38,1737856437,1715798951,1737856737,0,"let us go, necessarily,” Three Seagrass said. “I don’t know how self-defense is "," on your station, but we tend to allow a substantive benefit of the doubt in the",0
colophon,8,1715799242,1715799242,1715799542,0,"an hour passed, enough time to chant through the Litany of the Unquenchable Flame, complete with "," and optional sections. No inner warmth came, no communion. Smoke lingered in his lungs longer than",0
parsimony,8,1715816508,1715816508,1715816808,0,"beer.
The other girls in the caravan had found this theory fascinating, but to Tara its "," left something to be desired.
“What do you need to see here?” Cat asked, drawing ahead",0
midden,21,1725583287,1716017743,1725583587,0,"mug. “I’m a savage, from a savage land.”
“Please. If anyone drinks piss in this "," of a world it’s the Aurdwynni.” Aminata tapped the bottom of the mug, mischievous. “Go",0
sectarian,8,1716199085,1716199085,1716199385,0,"Technical Cardinal would be responsible for working with Elayne Kevarian and Tara Abernathy, and the brewing ", violence cooled to a simmer of backroom deals and machinations. Rival factions held long knives ready,0
styptic,9,1716222140,1716222140,1716222440,0,"and easy now. . .I love that.”
“We have a good time, don't we?”
Her single "," blink told him he should have said something better. Before he could fix it, she went",0
furtive,9,1716254358,1716254358,1716254658,0,"remember old drugstores with soda fountains. As a boy, he thought old drugstores had a slightly "," air. When you went in, you always thought about buying rubbers whether you needed any or",0
peptic,9,1716294925,1716294925,1716295225,0,Crawford's cigarette smoke bothering a couple in the next booth. The couple ate in a ," silence, their resentment hanging in the smoke.
Two women, apparently mother and daughter, argued at a",0
diffident,9,1716456030,1716456030,1716456330,0,"again.
Finally a simple way occurred to him and he wrote again.
The letter seemed too "," and shy when he read it over. He had signed it “Avid Fan.”
He brooded over",0
pismires,9,1716668463,1716668457,1716668763,0,"Me you rightly tremble. Fear is not what you owe Me, Lounds, you and the other ",". You owe Me awe.”
Dolarhyde stood with his head down, his thumb and forefinger against the",0
portico,9,1716668852,1716668852,1716669152,0,"his gall bladder taken out this morning.”
“Glorious,” Crawford said.
Chester pulled under the dripping hospital ",". He turned in his seat. “Jack, Will, before you go up . . . I hear this fruit really",0
gabardine,9,1716672925,1716672925,1716673225,0,"s case and the wheelchair wheels into Instrumental Analysis, walking at a rate that made his "," pants whistle.
The staff, held over from the day shift, knew that whistling sound very well",0
quotidian,9,1716717946,1716717946,1716718246,0,"doing the same things at various times of the day, that there were parallels in the "," details of their lives. Somewhere the Dragon was eating, or showering, or sleeping at the same",0
indigent,9,1716720958,1716720958,1716721258,0,"Finally, bitterly, Grandmother Dolarhyde made an arrangement with the county and began to take in elderly ", persons. For each one she received a sum from the county and erratic payments from such,0
fulsome,9,1716730242,1716730242,1716730542,0,"chapel and it was long at the graveside.
A radio evangelist went on and on in "," eulogy. Graham rode the greasy swells of his hangover and tried to study the crowd.
The",0
prognathous,9,1716743761,1716743761,1716744061,0,"the police had termed the ‘Tooth Fairy murders.’”
Definite progress.
Nothing but local news left. Some ", lout was reporting from the zoo. Clearly they’d send him anywhere to keep him out,0
emulously,10,1716806440,1716806440,1716806740,0,"trade on the week-days. The inhabitants were all doing well, it seemed, and all "," hoping to do better still, and laying out the surplus of their gains in coquetry; so",0
inordinate,10,1716850911,1716850911,1716851211,0,"there sprang up and grew apace in the lawyer’s mind a singularly strong, almost an ",", curiosity to behold the features of the real Mr. Hyde. If he could but once set",0
sedulously,10,1716922429,1716922429,1716922729,0,"moment. I thank you, sir”; and the clerk laid the two sheets of paper alongside and "," compared their contents. ‘Thank you, sir,’ he said at last, returning both; ‘it’s a very",0
pecuniary,10,1717000279,1733501715,1733502015,0,"me in the person of Dr. Jekyll, I could enter on that of Edward Hyde without "," loss. And thus fortified, as I supposed, on every side, I began to profit by the",0
cicatrices,11,1717034377,1717034377,1717034677,0,"skull, face like a veteran’s tall tale. Maya’s countenance is a gossip reel of ",", indentations where the skull stoved in and was shoddily rebuilt: you repair what you can when",0
surplice,12,1717097274,1717097274,1717097574,0,"turned nineteen and had no position of my own, I watched as he chafed under the "," of priesthood. His parishioners desired a mild-mannered curate, but he had the soul of",0
ameliorating,12,1717120543,1717120543,1717120843,0,"knowledge of the different seas, continents, and islands on the face of our globe; and for "," the condition of the savage tribes that might be discovered.
From the triumph in observing the",0
geas,12,1717181688,1717181688,1717181988,0,"a habit of reprimanding me for carelessness, all dark warnings and strange taboos.
“There’s a "," that knows you.”
“A geas?”
“A ban, though some call it fate. It keeps your brother",0
indigence,12,1717205282,1717205282,1717205582,0,I realised how opaque she was being. She had not actually answered my question. Surely any ," was akin to a refutation.
When I reconsidered the impudence of my question, I came to",0
surfeit,23,1726755517,1717269587,1726755817,0,"coupled with a fierce yet detached determination, drew apart, and coupled again, without the strength to "," their need.
Sometimes during the day, while William was at the University, the need came so",0
atomies,12,1717697780,1717697780,1717698080,0,"-stoneOn the fore-finger of an alderman,Drawn with a team of little ",Athwart men’s noses as they lie asleep;Her wagon-spokes made of long spiders,0
inimical,38,1736769867,1717862041,1736770167,0,"on a fair number of planets, the ones closest to Lsel Station that weren’t completely "," to human life, and she was nevertheless overcome by awe. Her heart beat faster; her palms",0
Noctuid,13,1718037558,1718037558,1718037858,0,"Roden said. 
 ""Probably, but which one?"" Pilcher said. ""Give us the lights, please. It's a ",", Officer Starling---a night moth. How many Noctuids are there, Roden?"" 
 ""Twenty-",0
intransigent,39,1738342812,1718295769,1738343112,0,"the kind of influence which will reflect our numerical strength, our energy, our intelligence and our ",". Even if we are defeated, our work will not have been useless, for the greater our",0
shibboleth,14,1718754102,1718754102,1718754402,0,"wristband…” I described it to him.
“Sounds like a shibboleth device,” Wise said.
“What’s a ","?”
“It’s from the Book of Judges in the Old Testament. The men of Gilead went",0
piquant,15,1718888049,1718888049,1718888349,0,"He received them with great demonstrations of affection. One was beautiful, the other, less so but ",. They had been brought up to witness their mother’s life and were not restrained or,0
Denumerable,16,1719187010,1719187010,1719187310,0,"to have fun.”
* * *
Consider: a single light-year is an inconceivable abyss. "," but inconceivable. At an ordinary speed— say, a reasonable pace for a car in megalopolitan traffic",0
abstemious,17,1721699908,1719195637,1721700208,0,"reputation.
Then, after an hour or two of calm sailing, he would return and enjoy the "," lunch of pears, fresh-baked pita, Bernish pasta, and cold gold wine that Bommp had",0
staid,16,1719268254,1719268254,1719268554,0,"read its tapes when they arrived.
The present trouble was this: Suns and planets are big, "," objects. They move through space at reasonable speeds, seldom above fifty kilometers per second. And they",0
fleered,16,1719273361,1719273361,1719273661,0,"too different. Meeting it was like, like seeing a woman one loved become a slut.” He ",". “Exactly so! I worked in space for five years, as much as I was able, research",0
quiescent,38,1738008791,1719311449,1738009091,0,"what else is out here is hungry, and nothing else but hungry. They have only been "," thus far, but…that might change. At any moment. When it does, I want you to",0
asymptotic,16,1719454269,1719454269,1719454569,0,"surrounded it. Being ionized, the atoms were seizable with maximum efficiency. Her tau plummeted close to "," zero: and with it, her time rate.
Go to Contents
Chapter 12
Reymont paused at the",0
demesne,16,1719484019,1719484019,1719484319,0,"Way and turned for a plunge through its heart, the ship’s periscope revealed a weird ",". The nearer stars streamed past ever faster, until at last the eye saw them marching across",0
opprobrium,17,1721645816,1733501683,1733501983,0,"it; they sought out scapegoats to hound and pound and kill. In this case, the heaviest "," fell upon magicians, sorcerers, wizards, warlocks, the few witches still suffered to live by the smug",0
ancillary,17,1721695625,1721695625,1721695925,0,"Dying Earth. Shrue’s diabolic equipment, mementos, the bulk of his library, and the curios and "," demons he’d collected over the many centuries would be safe there underground, unless—of course",0
ameliorated,17,1721785545,1721785545,1721785845,0,"of the southernmost limit of the Falling Wall. It was wild country, its dangers and wildness ", only by the fact that Dirind Hopz lay on one of the Nine Major Caravan Routes,0
mendacity,17,1721786308,1721786308,1721786608,0,only the rich rings he sported on every finger gave any sense of his wealth and ,".
“You see,” said Faucelme, pouring Shrue a fresh goblet of Schmoltz’s best red, “just to",0
capitulated,18,1722189209,1722189209,1722189509,0,"their city of Kiev. The nuclear exchange was limited, and the Soviets and Western bloc countries "," almost simultaneously. But the rehearsal had already been conducted, and the Soviets had emerged with less",0
solipsistic,26,1727691384,1723113217,1727691684,0,"this? Wasn’t it, indeed, an empty ritual, a performance for nobody? Wasn’t it just "," fidgeting, circular busywork of the kind you’d devise to occupy a surplus person? Wasn’t",0
incommensurable,18,1723114113,1723114113,1723114413,0,"prow, alone and content to stay that way for a long time. Kilometer after thousands of "," kilometers flowed by, black and gold and indistinct.
What it had all come down to was",0
truncated,19,1723257132,1723257132,1723257432,0,but it’s not a cylinder. The walls taper inward toward the ceiling. It’s a ," cone.
I’ve spent the last few days without much information to go on. Now information",0
anhydrous,19,1723304450,1723304450,1723304750,0,"work on this.”
She shook her head. “You’ve done your part. We thought it was ", life. Turns out it wasn’t. You proved that. And since no alien exploded out of,0
axiomatic,20,1724113043,1724113043,1724113343,0,"accept that. Yet, as anyone trained in formal inquiry knows, no supposition should be treated as ",. The actual argument usually read “no supposition—save for the existence of the Almighty himself—should,0
parietal,20,1725099146,1733501667,1733501967,0,"counts. “Yes,” he whispered.
“I think I understand.”
“So,” Kaladin said, resting his head back, the "," knob of his skull resting against the wall, “I’m to be judged by the highstorm",0
nadir,20,1725137620,1725137620,1725137920,0,"the massive cavern came to a point. There was a large infused diamond there, marking the ",".
“We don’t like to talk about it,” Kabsal said as he joined her.
“Why not",0
cogent,21,1725500017,1725500017,1725500317,0,"Fiat Bank.”
And she controlled that trade and that bank. She was the Imperial Accountant.
“A "," assessment, I think,” Muire Lo said, quite properly, but she could see in the tightness of",0
sedition,21,1725573596,1725573596,1725573896,0,"last Duchess Nayauru, I believe. Didn’t survive the Fools’ Rebellion.”
“Interesting. Maybe a motive for ",. Useful to know if we need to set Xate Yawa on her.” They navigated a hedge,0
insouciantly,21,1725576610,1725576610,1725576910,0,"still call me Baru.”
Aminata crossed her arms, cocked her weight on one hip, and smiled ",". “I don’t know if it’s to your taste, Baru, but this is a seaport",0
inexorable,31,1732893028,1725583601,1732893328,0,"her trophy total to three.
Overall, they’d been whittled down by more than half.
The "," brambles combined with the blood bar had seemed terrible at first, but it ended up being",0
caldera,21,1725604423,1725604423,1725604723,0,printed in the still water? Dark young stone down in the deep like the shadow of ," gods? She couldn’t remember, couldn’t manage the geography or trigonometry with her pounding headache",0
jodhpurs,21,1725636416,1725636416,1725636716,0,"gone to make arrangements, Baru went back up to her rooms to find country clothes—riding ",", heavy coats, hard-soled boots. While she worked she thought, trying to be remote and",0
phlegmatic,21,1725638033,1725638033,1725638333,0,"THE duchess taught her to ride, first two to a horse, then Baru on a ", chestnut mare that refused to hurry even when the winding forest paths carried them into the,0
indelible,21,1725638289,1725638289,1725638589,0,do anything to stop it. The rebellion will begin. Your helplessness against it will be an ," failure, marked on you as surely as a scar. And for that I am sorry. You",0
incurious,21,1725650483,1725650483,1725650783,0,"two. But by and large, I’ve found the results…” He drank, a short draw and "," swallow. “If my family misses anyone, it’s the boy they lost to Falcrest. Not the",0
Mercurial,21,1725722061,1725722061,1725722361,0,"been kind to you?”
“She’s notoriously—” Oathsfire made a flapping bird wing with his hand. “",".”
“Not about you, though.” Lyxaxu’s eyes sparkled.
“No, she’s always been quite steady there",0
insouciance,21,1725827111,1725827111,1725827411,0,"times for mere accounting.”
“You know the signs for my name?” Baru leaned back, to project ",", to escape those eyes. Why had Tain Hu come? Why hadn’t Unuxekome announced her arrival",0
analemma,21,1725827261,1733501654,1733501954,0,"be a symbol, Vultjag. Nothing more.”
The tip of Tain Hu’s blade described one small "," in the air, and Baru remembered her words, three years ago, spoken into the forest, into",0
carillon,21,1725918952,1725918952,1725919252,0,"is a council of peers. Show some respect.”
Tain Hu’s mailed arms made an angry ", on the arms of her seat. “Baru Fisher braved scurvy and starvation while you wasted her,0
mishegas,22,1726224222,1726224222,1726224522,0,Is he buying time? Trying to make a deal with the somebody who set all this ," in motion, maybe using his lawyer as the go-between?
The somebody must know Allen",0
inculcated,22,1726431612,1726431612,1726431912,0,"trouble and was about to get him in even more. It was the core belief, maybe "," in childhood, that he was the star of a movie called The Fabulous Life of Ken",0
Palliative,22,1726436291,1726436291,1726436591,0,with it. His ma took him to Reno. He’s in a long-term facility. ," care, they call it.’
‘I’m sorry to hear that,’ Billy says, and he really is",0
indolence,23,1726527196,1726527196,1726527496,0,"that had once belonged to someone else.
His hours of work increased with his employers' growing ",", and he spent the long evenings in his room methodically doing his class assignments; he had",0
equanimity,23,1726700842,1726700842,1726701142,0,"not know exactly how she would take the declaration and proposal, he was surprised at her ",. After he spoke she gave him a long look that was deliberative and curiously bold; and,0
landau,23,1726710735,1726710735,1726711035,0,"to the station, but Mr. Bostwick insisted that one of the servants drive him in the ",. Edith was to write him in a few days about the wedding plans. He thanked the,0
dialectic,23,1726795979,1726795979,1726796279,0,"the sixteenth century. It is important that we realize that these arts of rhetoric, grammar, and "," meant something to a late medieval and early Renaissance man that we, today, can only dimly",0
dissimulation,23,1726829404,1726829404,1726829704,0,"he was doing harm to anyone for whom he felt responsibility.
He had no talent for ",", nor did it occur to him to dissemble his affair with Katherine Driscoll; neither did it",0
magnanimous,24,1727035282,1727035282,1727035582,0,"d heard it all—lies, all of it the most egregious lies. Her father was a ", man. He’d opened the mines only five years ago and already hundreds of men were,0
abutment,24,1727036126,1733501645,1733501945,0,"of rotting box cribs, careless expansion, poisonous gases, dust explosions—anything you could think of. The "," was too heavy. The beams were too weak. Others, those perhaps more loyal to Jeremiah Underhill",0
Alarum,25,1727039470,1727039470,1727039770,0,"is fair: Hover through the fog and filthy air. 
[Exeunt.]
 SCENE II. A Camp near Forres."," within. Enter King Duncan, Malcolm, Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
 DUNCAN. What bloody",0
Varuna,26,1727056853,1727056853,1727057153,0,"really close. You want to be inside for that, definitely.”
In any case, Resaint thought, the "," was almost the size of an aircraft carrier, so the spindrifter would probably come off worse",0
secondment,26,1727057054,1727057054,1727057354,0,"she would be delighted to see them again, but of course she never would. Their strange "," in the human world was over.
“Really?”
“Yes. I feel like I’ve barely begun.”
“Wow",0
epimysium,26,1727088752,1733501622,1733501922,0,"glistening, ruffled and pleated, except in some places where it was wrapped like tenderloin in translucent ",", and in others where it had thick black or white fur. Here and there a nub",0
Semiotically,26,1727137468,1733501616,1733501916,0,a communiqué would be released online and the police would find a catapult abandoned somewhere nearby. ,", the stunt had more or less the same structure as those old protests—from before the",0
inviolable,26,1727206079,1727206079,1727206379,0,"All this would be uploaded to servers under the custodianship of the world’s various biobanks, "," reliquaries much like the one where Ismayilov kept his dear wife.
What had prepared the ground",0
ebulliently,38,1737514726,1727259823,1737515026,0,"liaison, and I’ve been asked to escort you both home.”
Three Seagrass was no longer "," drunk. She was grey-pale at the temples, exhausted. She’d only been out of",0
déshabillé,26,1727315270,1727315270,1727315570,0,"invite a couple of outsiders in, show them around the reserve when it was still rather ",", and then let them leave without even the basic safeguards in place: that was out of",0
specious,26,1727316257,1727316257,1727316557,0,the hope that these little brains would have anything profound to teach us now seemed as ," as any proverb about wisdom coming out of the mouths of babes. The truth was, most",0
concomitant,26,1727434557,1727434557,1727434857,0,twenty million head of low-emission cattle crowding into the lakelands. Nobody had expected a ," expansion in job opportunities for ranch hands, because the industry was heavily automated. But lately Finland",0
repatriation,26,1727434766,1727434766,1727435066,0,"the country, so after they were evacuated they were brought to the south coast to await ",". The problem was that kaptcha, like ringworm, was zoonotic, meaning it could jump from animals to",0
Jainism,26,1727465292,1727465292,1727465592,0,"in front of you like a Buddhist monk so you don’t squish anything.”
“That’s ",", not Buddhism,” Resaint said.
“Or you could do some good. Take your considerable talents to some",0
internecine,39,1738272078,1727480968,1738272378,0,"groupings as they will be in a society in which, having abolished private property and the "," struggle between men, everybody will find his interest in that of everybody else, and his greatest",0
coralline,26,1727518900,1727518900,1727519200,0,"to that effect, because she was.”
“How did she end up out there?”
“Evicted from her "," abode, perhaps! No, the truth is I haven’t the faintest—she was floating around miles",0
niveous,26,1727575091,1733501602,1733501902,0,"covered with stratospheric waterfalls, great land-sponges bouncing through the valleys, corals budding in perfect "," hexagons, humming lichens glued to pink crystals, prismatic jellyfish breaching from the rivers, titanic lilies relying",0
mucoid,26,1727642392,1727642392,1727642692,0,"the outside had become a TV tuned to black gnat static, the picture blurred by the ", residue of a million glancing contacts. It swelled in fury as each spindrifter approached and then,0
risible,26,1727644620,1727644620,1727644920,0,"had made her realize what even sexual intercourse had not, which was that she found him "," and disgusting. “I strongly believe that we’re better off focusing on the spindrifters,” Ganf said",0
nubuck,26,1727693153,1727693153,1727693453,0,of bench- or chaise-like object that resembled a giant flatworm upholstered in white ,. The first place he had gone after leaving Resaint at the health club was Surface Wave,0
claggy,26,1727722978,1727722978,1727723278,0,"heart shut tight and the right side ballooned up with blood, while her lungs would be "," with pink froth.
Whether Kazu Horikawa had ever endured a bite in the course of her",0
prevaricated,26,1727774198,1727774198,1727774498,0,alongside us. That troubled me. That meant something unusual was underway. For another few hours I ,", but by the time my houseboat turned east, I was quite convinced. At long last somebody",0
fraught,26,1727774685,1727774685,1727774985,0,"and corruption, she still respected him for it, because at least his relationship with animals was ",". That was the difference between him and Halyard, even if they were both extinction industry cunts",0
volubility,26,1727814162,1733501595,1733501895,0,the money he made would be a patriotic triumph ‘like the Falklands.’” But here Barka’s ," ran out. He leveled the crossbow, tightening up his stance where it had relaxed. “All right",0
dactyls,38,1737489688,1727856993,1737489988,0,the standard fifteen-syllable political verse form to something that was absolutely stuffed full of ,". And then she’d pointed her chin at another one of Three Seagrass’s friends, in",0
saturnine,28,1728438803,1728438803,1728439103,0,"accord, or else it was that his cast of face made his smile look malignant and ",".
Presently, with an excuse, he left me, asking me to put all my papers together. He",0
Sanguine,28,1728597523,1728597523,1728597823,0,"afterwards accurately, so I had better commence to do so, therefore—
R. M. Renfield, ætat 59.—"," temperament; great physical strength; morbidly excitable; periods of gloom, ending in some fixed idea which I",0
expostulate,28,1728765883,1728765883,1728766183,0,is catching flies. He has at present such a quantity that I have had myself to ,". To my astonishment, he did not break out into a fury, as I expected, but took",0
badinage,28,1729375544,1729375544,1729375844,0,"before, and that the whole explanation was simply an elaborate sell. I couldn’t cope in "," with the worthy Thomas, but I thought I knew a surer way to his heart, so",0
stertorously,28,1729381801,1729381801,1729382101,0,"her keep on, was a rough chaplet of the same odorous flowers. Lucy was breathing somewhat ",", and her face was at its worst, for the open mouth showed the pale gums. Her",0
physiognomist,28,1729443694,1729443694,1729443994,0,"t with eyebrows like yours.” He seemed pleased, and laughed as he said:—
“So! You are ",. I learn more here with each hour. I am with so much pleasure coming to you,0
cicatrised,28,1729444203,1729444203,1729444503,0,I might fairly have said that the wound which poor Lucy left on me was becoming ,". Everything is, however, now reopened; and what is to be the end God only knows. I",0
paucity,28,1729498705,1729498705,1729499005,0,Here again I found the tally agreeing exactly; the carriers’ men were able to supplement the ," of the written words with a few details. These were, I shortly found, connected almost solely",0
importunate,28,1729556748,1729556748,1729557048,0,"in the morning; I was busy just at the moment. The attendant added:—
“He seems very ",", sir. I have never seen him so eager. I don’t know but what, if you",0
arrogate,28,1729794808,1729794808,1729795108,0,"suppose?” He smiled with an ineffably benign superiority.
“Oh no! Far be it from me to ", to myself the attributes of the Deity. I am not even concerned in His especially spiritual,0
exigency,28,1729988731,1729988731,1729989031,0,"may.”
Mina took a growing interest in everything and I was rejoiced to see that the ", of affairs was helping her to forget for a time the terrible experience of the night,0
odium,28,1730074385,1730074385,1730074685,0,you should have known better.” I demurred as to my not sharing any danger even of ,", but he went on: “Besides, it will attract less attention if there are not too many",0
mawkish,29,1730800099,1730800099,1730800399,0,"Maestro.’”
“They’re orcs. Everything they do is mawkish.”
I had no idea what the word “","” meant, but I assumed it translated to “cheesy.” “So these guys are different than the tusklings",0
recalcitrant,30,1732231781,1732231781,1732232081,0,"up. “Certain crawlers are simply too valuable to just throw away off screen, no matter how ", they are. Ultimately it’s their call. And even though I can’t find legal cause,0
apotropaic,31,1732750916,1732750916,1732751216,0,"on this one. I’ve done some pretty extensive and conclusive research on the matter.
This ", talisman looks like something a goth teenaged girl would shoplift from a Hot Topic. A girl,0
Epicure,31,1732750997,1732750997,1732751297,0,"the back of my own hands. I was wrong.
Upgrade Patch. Medium.
Ah, yes. The Midnight ",. The Caprid Who Devours the Sky. This scary-ass fable is used to terrify children,0
sward,32,1733660225,1733660225,1733660525,0,"had been a strange world. A long, flat, grass-covered lowland meant to mimic the ",". But hidden in the grass were thousands of round holes of various sizes, each one leading",0
temerity,37,1735780267,1733851824,1735780567,0,"his amusement. 
The relief came, and was followed by a wave of awe at my own ",". I had talked back like Catcher was one of the guys. It was thunderbolt time. 
“So",0
puerile,32,1733884957,1733884957,1733885257,0,name back this instant! I will kill this fat loser right now! Right fucking now! You ,", disgusting mongrel. How dare you? How fucking dare you? I will starve out all of your",0
desideratum,33,1733917249,1733917249,1733917549,0,"the last thirty years. One constant is that, to achieve all the purposes of reading, the "," must be the ability to read different things at different—appropriate—speeds, not everything at the",0
syntopical,33,1733917880,1733917880,1733918180,0,"introduction in Part One of the distinction of four levels of reading—elementary, inspectional, analytical, and ", —is the basic and controlling change in the book’s organization and content. The exposition in,0
abecedarian,33,1734058544,1734058544,1734058844,0,"being enlightened. The point, however, is not to stop at being informed.
Montaigne speaks of “an "," ignorance that precedes knowledge, and a doctoral ignorance that comes after it.” The first is the",0
collate,34,1734232946,1734232946,1734233246,0,"like dog shit, actually.”
“I appreciate your concern,” Casey says. His focus roams. He tries to "," the details of his surroundings.
On the other side of the tiny aisle to his left",0
purl,34,1734404729,1734404729,1734405029,0,"Casey says with weak anger. “Just fine.”
The clang of kitchen help momentarily rises above the "," of the fountain. Though the commotion fades as quickly as it had interrupted, it’s a",0
invective,35,1734578050,1734578050,1734578350,0,"the era, she invokes local fertility deities, frames inventive methods for their copulation. She exhausts her "," arsenal and growls, wordless, and spits into the abyss.
After all that, as prophesied, she laughs",0
interleave,35,1734663491,1734663491,1734663791,0,to answer. There is no mono-we; there are many usses. The usses change and ,. Have you ever stared into the workings of a watch? I’m talking about a really,0
humus,35,1734775294,1734775294,1734775594,0,"between stars, tangling their breath into networks of song. I have been fish and plankton and ",", and all these have been me.
But while I’ve been enmeshed in this wholeness—they",0
